Order	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
Bacteria;Firmicutes;Clostridia;Monoglobales	3	0	0	208	0	0	0	37	17	0	0	0	0	0	0	0	0	0	0	0	15	0	2	0	0	5	0	0	0	1	1	0	27	0	0	0	0	0	61	19	3	0	3	7	4	0	0	0	1	0	0	0	0	12	0	77	0	0	0	3
Bacteria;Firmicutes;Clostridia;Oscillospirales	62147	38247	0	10969	363	69747	91121	23052	26088	986	28682	2817	37407	279	4562	2904	0	287	36163	41565	27060	67286	72375	42707	86	41430	31549	10066	28869	34383	37361	22557	41328	8783	154	39282	60	99899	25410	66143	33199	5	35497	39295	27503	29097	39113	42668	22937	51436	50871	26177	34735	45274	37300	34014	6839	32425	30474	51338
Bacteria;Firmicutes;Clostridia;Peptococcales	1	17	0	0	0	0	0	14	0	0	43	0	0	0	0	0	0	0	0	0	118	0	10	0	0	495	0	0	3	0	0	0	78	0	0	0	0	0	199	0	5	0	40	0	171	0	0	157	0	0	0	0	0	18	0	11	0	0	1	18
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales	948	24	0	3146	25	0	364	3666	382	4	145	0	9810	1	2	5	0	147	24	49	502	64	143	991	1	214	600	288	583	170	37	2345	229	26	359	572	1	31	825	3476	8760	52	1317	1227	142	294	66	67	17	1370	4377	2	9	368	7819	1115	5393	10	230	205
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales	166	16	0	0	28	163	0	87	0	0	14	0	24	0	77	3	0	0	0	19	16	6	3	136	0	3	1	9	9	1	0	11	2	3	0	0	0	0	7	2	18	0	1	7	4	74	0	5	15	4	7	4	16	0	5	5	22	16	38	92
Bacteria;Firmicutes;Incertae Sedis;DTU014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Negativicutes;?	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Acidaminococcales	0	5	0	188	0	0	0	0	45	0	0	0	0	0	0	0	0	0	1334	0	0	0	2237	0	4	0	372	94	156	0	1178	76	682	0	0	1489	0	0	0	31	113	0	0	2	232	0	0	516	1	1613	3733	0	0	283	0	1043	0	1851	4197	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales	91	20	0	0	0	7	365	19	0	0	21	0	137	0	4	0	0	0	0	17	2	3	5	125	0	12	2	0	3	2	1	0	1	1	0	5	0	0	0	3	11	0	11	0	2	99	0	14	1	2	27	3	39	1	22	3	15	33	7	26
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales	155	244	0	3674	398	256	11503	474	6568	2	37	0	551	0	97	120	5	59	38720	3	1752	6	3	762	69	7417	5	4	30	8	116	6	45	116777	2	53	0	61	25	428	1879	2	6	1349	2682	54	995	1	10	3589	38	380	99	163	25	20	1314	29	18	133
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	0	3	0	50	0	0	19	7	16	0	0	0	9	0	2	14	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	7	0	4	0	7	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	1	1	0
Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Myxococcota;Polyangia;?	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Myxococcota;Polyangia;Blfdi19	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Patescibacteria;Berkelbacteria;?	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	0	0	6	0	2	4	0	4	92	2	7	0	13	2	9	28	0	0	0	1	0	0	1	0	0	0	1	2	0	1	0	20	2	2	16	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	5	0	2	2	12	0	0	1	0	1
Bacteria;Proteobacteria;?;?	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;?	0	0	0	5	0	0	0	0	328	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	1	0	0	2149	0	0	0	0	1958	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	3	0	0	0	0	0	0	2	137	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	5074	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	53	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	0	0	0	129	0	0	0	0	98	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	154	4	0	1	0	0	0	2	208	0	48	0	2	0	2	0	0	0	0	3	4	0	3	18	0	6	0	0	5	15	0	40	1	14	0	2	0	0	3	7	11	0	2	0	3	119	0	0	6	0	1	0	3	1	5	0	1	25	1	13
Bacteria;Proteobacteria;Betaproteobacteria;MND1	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;?	6	0	0	14	0	1	0	237	565	17682	0	3257	21	12	218	5	80	46	2	2	13	1	0	2	0	0	65	9	75	0	1	16	18	2	329	0	0	1	1	382	24	8	1	1	11	1	6	3	4	1	20	57	29	239	12	3	44	0	1	19
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	966	264	74	14906	91	36	0	104	12240	251	63	2032	12	49	5651	50	69	9	77	925	225	883	1491	48	13	273	2282	1824	103	156	257	0	340	416	180	10153	3	31	1605	7217	12	1492	2024	74	1442	355	0	110	22131	204	1816	1	2911	2439	629	37	1	2218	0	1845
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	427	720	169810	121848	155610	5281	1487	3704	12416	61988	1259	149091	21207	132214	80562	73857	181326	103553	26106	1112	520	1760	12	217	0	87	2029	4065	61918	33	2834	125	65	362	88866	4501	8	19922	248	172	51	46482	92	38913	1400	825	5344	2288	13200	228	4319	2418	26386	252	3097	170	5240	18189	57	87
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales	1	8	13527	611	92	0	68	5	1	694	49	107	36	24855	5934	33178	0	24	2	22	0	3126	54	2	0	6	0	41	5025	5	64	1	32	5	6307	0	0	60	0	0	0	3	2	5	5858	3	8286	886	12191	240	165	26	1200	1	1238	149	13	2	4	1
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	63	0	0	8	22	39	11	23	2	0	14	0	200	0	232	36	0	1	1	0	1	1	0	10	0	0	1	0	18	0	0	0	0	0	0	1	0	11	0	0	4	0	2	5	0	6	2	0	9	1	1	0	5	1	4	1	23	3	3	22
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	3	1	4	596	0	0	0	0	722	0	0	11	0	0	4	3	284	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Synergistota;Synergistia;Synergistales	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;?	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales	1	2870	0	24	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	250	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Eukaryota;Vertebrata;Mammalia;?	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
noHit;	0	17	117	26458	0	0	23	0	4055	0	2	70	2	73	205	3	160	309	0	0	0	0	0	0	0	0	14	1	2	22	0	1	0	42	0	17	0	34	0	1	0	21	0	0	0	0	0	0	10	1	48	2	21	11	12	0	0	0	2	9
