Family	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Blastocatellia;11-24;?	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Blastocatellia;?;?	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Holophagae;Subgroup 7;?	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Subgroup 18;?;?	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;?	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	0	0	2	0	0	0	0	2	0	0	0	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae	0	0	0	0	0	2	0	0	0	22	0	2	6	2	0	96	0	0	0	0	0	0	0	4	0	3	0	0	0	1	1	5	0	2	25	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	873	1591	0	0	5440	0	0	55	430	0	0	0	87	0	0	0	1	0	1	614	2	3	896	0	0	55	2908	0	29	0	0	815	1292	0	0	0	0	1	5173	84	13	0	0	0	2064	0	3	47	6	1789	0	0	0	4432	8	5268	0	0	1904	2691
Bacteria;Actinobacteriota;?;?;?	62	0	0	0	0	0	16	113	136	0	1	0	36	0	0	0	0	0	0	0	0	0	1	28	0	1	0	0	5	3	0	9	4	6	0	0	0	0	0	3	8	0	1	0	0	5	0	1	3502	4	4	0	0	1	6	0	0	4	3	5
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;?	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;uncultured Aciditerrimonas sp.	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;?	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;?;?	2041	814	3	48	26	1168	1545	2070	737	5	184	1	825	0	2009	1	0	193	500	1023	343	447	454	1581	7	323	21	2790	146	1382	918	1526	793	183	17	133	0	3	707	1049	2588	0	1020	542	292	1183	16	1620	1743	516	1228	2	14	1021	5619	2342	14393	11	2154	1817
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae	28	13	4	16	18	8	5	62	562	20	4	14	131	55	262	1133	471	89	7	8	13	4	2	4	0	30	0	47	57	45	7	43	5	68	756	0	0	17	10	24	16	8	3	25	9	16	5	0	1	5	24	1	12	4	45	2	64	2	14	17
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;?	1	0	2	0	0	1	0	1	4	26	0	7	5	9	13	35	0	53	2	0	0	1	0	3	0	7	0	1	3	13	0	53	3	12	47	0	0	0	0	5	18	0	8	0	0	0	0	0	1	0	8	0	5	0	22	0	1	0	1	2
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	266	259	4	6131	19963	3	15040	19470	1422	63355	2173	20482	6202	11	300	18720	337	968	1237	12695	44	22533	2977	5633	63	14420	5	14959	5	5545	12746	23020	901	241	42214	200	14	3	3164	4480	185	8639	2102	15859	1716	6793	8918	211	10323	2	9544	125	2471	7253	16524	959	99	2	67	5723
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae	0	0	2	8452	1	3	0	5	86	1	0	39	2	0	1	16	4	6	0	1	0	2	0	0	0	6	0	0	0	0	6	1	0	6	11	0	0	4	0	0	0	23	1	0	0	0	1	0	0	0	0	0	1	2	3	0	0	0	0	8
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;?	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae	0	0	0	0	0	0	0	0	70	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;?	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae	0	0	0	169	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	0	1	1	0	0	0	0	0	91	40	0	16	67	10	49	369	0	216	2	35	18	1	0	55	0	1	2	10	0	3	1	20	3	39	83	0	0	2	3	0	2	2	0	0	29	0	0	0	1	0	8	0	4	4	1	0	23	6	4	1
Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae	0	0	0	0	0	0	0	0	98	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae	0	0	0	507	0	0	1	0	0	0	0	0	2	1	0	18	0	6	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;?	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae	0	0	0	2	0	0	0	0	330	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;?	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	43	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae	10	50	0	244	0	0	12	0	74	0	1	0	6	0	1	0	0	1	0	0	54	0	2	7	0	145	14	3	5	226	0	13	518	175	8	21	0	0	66	0	198	1	0	1	226	1	0	23	1	1	15	0	0	0	16	14	1	0	5	29
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	6715	325	1	2409	0	0	974	2486	9432	0	827	0	16114	0	327	0	1	0	27767	45	1966	243	6748	6376	0	4855	1335	628	2090	7949	18	25967	2582	5257	0	731	14	2	426	3047	10158	2	2151	5	108	968	44	487	6	990	2156	2350	98	9194	4786	1343	0	91	5975	904
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae	116	108	0	82	0	0	30	82	445	0	10	0	18	0	0	0	0	0	0	16	252	319	125	173	1	299	40	247	488	305	32	700	68	254	0	24	0	159	79	108	159	0	16	0	79	59	23	19	0	78	125	0	0	39	49	51	0	98	154	394
Bacteria;Actinobacteriota;MB-A2-108;?;?	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;?	0	0	0	0	0	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	219	14	0	0	6	14	119	168	8	0	89	0	212	0	12	0	0	0	0	0	3	10	9	204	0	0	1	0	0	5	0	0	0	0	0	2	0	8	1	4	22	0	26	0	0	107	5	4	3	12	2	0	4	5	19	5	58	18	134	474
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	558	25	0	0	0	12	33	25	3	0	115	0	22	0	5	28	0	0	0	0	7	1	2	247	0	2	1	3	3	20	5	7	3	0	0	0	0	0	3	0	6	1	32	0	0	333	11	4	25	5	2	0	47	8	0	13	194	9	30	198
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	17	7	0	0	3	1	11	194	0	1	6	0	29	0	118	0	0	0	0	3	6	11	2	114	0	5	1	23	13	3	2	7	0	14	0	1	0	0	4	2	5	0	6	1	17	24	3	1	1	3	2	0	3	0	15	7	39	34	7	15
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Odoribacteraceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;?;?;?	129	1	0	0	0	0	72	0	2	0	16	0	54	0	2	0	0	0	0	0	0	0	6	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	60	2	0	0	3	1	3	0	5	4	2	0	5	1	22
Bacteria;Bacteroidota;Bacteroidia;?;?	0	3	0	0	0	0	0	0	229	0	260	0	52	0	1	5	6	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	2	0	0	1	2	5	1	0	0	16	6
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;?	0	0	0	0	0	0	0	1204	75	0	0	0	0	0	0	1	0	0	0	0	408	0	42	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	565	0	4	0	0	0	16	0	15	0	0	18	732
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	38705	4588	1	811	2441	96	24691	1386	33542	25	119520	3	41270	1	1799	6	0	1	14036	23	6087	2617	26763	2270	168	26691	27712	2409	988	66930	78	1530	26194	1488	4	17362	15	26	11772	45105	11483	0	54268	36	639	80260	66357	1978	13873	48562	16417	8114	41	57832	18358	55485	31	6812	17862	8281
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae	901	1620	0	0	0	0	0	72	135	0	0	0	0	0	70	0	0	0	0	0	352	4	2295	67	0	52	403	46	4	0	2	83	291	13	0	0	17	0	14694	22412	706	0	4239	0	1	5294	0	776	17	4053	111	0	0	2732	77	9870	0	0	275	175
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae	156	481	0	0	0	0	0	9	924	0	0	0	0	0	0	0	0	0	0	0	312	0	558	1	0	6	11898	0	59	0	0	26	747	15	0	0	0	0	3232	3243	89	0	304	0	0	0	0	49	1	88	4	0	0	805	8	660	0	0	1349	263
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae	0	0	0	13	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	8	0	1	1	283	1	161	1	3867	3	0	1	0	0	0	2	2157	0	1	0	131	0	0	3374	0	0	0	0	0	0	4	0	0	1	8162	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	0	0	0	649	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3760	0	0	0	0	0	24	0	0	157	0	0	0	746	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	58	68540	0	1699	0	2	3141	1350	18762	3	4	1902	2329	2568	2593	916	1	1	1	39767	45401	0	2758	878	0	9742	55001	24	2529	2	16367	4	17847	400	68	72088	2	7	4952	1	18259	0	2	135	57425	17	2	68397	17	762	13104	68513	242	1241	307	1016	53512	90685	16871	7
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	584	1283	0	51	2	0	0	13	471	0	0	0	0	0	1	0	0	0	0	3	306	0	3990	48	0	1453	6021	33	19	3461	1320	330	1707	125	0	9	7	0	18857	1862	2726	0	3643	0	220	30	0	32	6	367	20	14	0	1390	3	2216	0	0	1209	409
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	2440	677	0	273	0	2	0	174	13842	12	1910	0	0	0	102	0	0	0	0	6689	11385	922	1736	268	0	7410	1940	318	705	4023	39916	645	7817	176	0	2516	0	0	1225	2390	1771	0	0	0	262	820	0	9155	6	1633	12	1355	1	1917	133	1125	0	387	3636	3974
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae	0	0	0	45	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	106	1	32	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae	0	0	0	0	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Campylobacterota;Campylobacteria;?;?	0	1	0	0	0	0	60	0	0	0	0	0	75	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	5	0	1	0	28	0	0	0
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae	2	0	0	222	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	124	0	0	0	1	0	0	0	0	0	0	0	2	0
Bacteria;Chloroflexi;?;?;?	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;AD3;uncultured Chloroflexi bacterium;?	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;?	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
