Class	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
Bacteria;Methylomirabilota;Methylomirabilia	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Myxococcota;Polyangia	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Nitrospirae;Nitrospira	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Patescibacteria;Berkelbacteria	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Patescibacteria;Parcubacteria	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Patescibacteria;Saccharimonadia	0	0	6	0	2	4	0	4	92	2	7	0	13	2	9	28	0	0	0	1	0	0	1	0	0	0	1	2	0	1	0	20	2	2	16	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	5	0	2	2	12	0	0	1	0	1
Bacteria;Proteobacteria;?	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria	4	0	0	2330	0	0	0	2	2841	0	0	0	0	0	5	6	3	0	0	0	0	0	575	0	0	0	0	0	0	0	0	116	0	1	0	0	0	0	5074	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	1	53	0
Bacteria;Proteobacteria;Betaproteobacteria	154	4	0	1	0	0	0	2	229	0	48	0	2	0	2	0	0	0	0	3	4	0	3	18	0	6	0	0	5	15	0	40	1	14	0	2	0	0	3	7	11	0	2	0	3	119	0	0	6	0	1	0	3	1	5	0	1	25	1	13
Bacteria;Proteobacteria;Gammaproteobacteria	1466	993	183415	137983	155815	5357	1566	4073	26596	80615	1385	154498	21476	157130	92601	107129	181799	103644	26188	2061	759	5771	1557	280	13	366	4377	5939	67139	194	3156	142	455	785	95682	14863	11	20025	1854	7772	92	47986	2121	38999	8711	1190	13639	3287	47535	674	6321	2502	30531	2932	4980	360	5321	20412	65	1976
Bacteria;Synergistota;Synergistia	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Verrucomicrobiota;Verrucomicrobiae	1	2870	0	24	0	0	0	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	250	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Eukaryota;Vertebrata;Mammalia	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
noHit;	0	17	117	26458	0	0	23	0	4055	0	2	70	2	73	205	3	160	309	0	0	0	0	0	0	0	0	14	1	2	22	0	1	0	42	0	17	0	34	0	1	0	21	0	0	0	0	0	0	10	1	48	2	21	11	12	0	0	0	2	9
